-124,-7
40,-7
119,-7
42,-7
-86,-7
-52,-7
-17,-7
81,-7
-84,-7
-5,-7
114,-7
70,-7
102,-7
-55,-7
16,-7
30,-7
-43,-7
30,-5
113,-5
101,-5
25,-5
-110,-5
-62,-5
54,-5
-47,-5
-16,-5
44,-5
-107,-5
-48,-5
-17,-5
-18,-5
22,-5
80,-5
45,-3
-103,-3
35,-3
23,-3
-113,-3
4,-3
61,-3
8,-3
-11,-3
41,-3
-82,-3
-5,-3
126,-3
9,-3
12,-3
-92,-3
-85,-3
-13,-5
13,-5
-76,-5
-47,-5
100,-5
9,-5
-40,-5
-111,-5
-37,-5
-74,-5
-87,-5
117,-5
7,-5
-25,-5
-54,-5
3,-5
56,-5
70,-5
12,-5
118,-5
17,-5
53,-5
0,-5
69,-5
92,-5
-12,-5
52,-5
39,-5
90,-5
58,-5
-117,-5
